Country Name,Code,Income Group,WB Region,WHO Region ,Expected number of clubfoot cases - regional incidence ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Indonesia,IDN,Lower middle income,East Asia & Pacific,South-East Asia,1.8,275501339,16.425,4525109.493,5611.135771,8145.197088
"Iran, Islamic Rep.",IRN,Lower middle income,Middle East & North Africa,Eastern Mediterranean,1.18,88550570,13.699,1213054.258,1504.18728,1431.404025
Iraq,IRQ,Upper middle income,Middle East & North Africa,Eastern Mediterranean,1.18,44496122,27.367,1217725.371,1509.97946,1436.915938
Ireland,IRL,High income,Europe & Central Asia,Europe,1.11,5127170,11.6,59475.172,73.74921328,66.01744092
Isle of Man,IMN,High income,Europe & Central Asia,Europe,1.11,84519,8.529,720.862551,0.893869563,0.800157432
Israel,ISR,High income,Middle East & North Africa,Europe,1.11,9557500,19.7,188282.75,233.47061,208.9938525
Italy,ITA,High income,Europe & Central Asia,Europe,1.11,58940425,6.8,400794.89,496.9856636,444.8823279
Jamaica,JAM,Upper middle income,Latin America & Caribbean,Americas,1.14,2827377,11.712,33114.23942,41.06165689,37.75023294
Japan,JPN,High income,East Asia & Pacific,Western Pacific,0.86,125124989,6.6,825824.9274,1024.02291,710.2094376
Jordan,JOR,Upper middle income,Middle East & North Africa,Eastern Mediterranean,1.18,11285869,21.95,247724.8246,307.1787824,292.315293
Kazakhstan,KAZ,Upper middle income,Europe & Central Asia,Europe,1.11,19621972,23.5,461116.342,571.7842641,511.8391396
Kenya,KEN,Lower middle income,Sub-Saharan Africa,Africa,1.31,54027487,27.685,1495750.978,1854.731212,1959.433781
Kiribati,KIR,Lower middle income,East Asia & Pacific,Western Pacific,0.86,131232,27.207,3570.429024,4.42733199,3.070568961
"Korea, Dem. People's Rep.",PRK,Low income,East Asia & Pacific,Western Pacific,0.86,26069416,13.24,345159.0678,427.9972441,296.8367983
"Korea, Rep.",KOR,High income,East Asia & Pacific,Western Pacific,0.86,51628117,5.1,263303.3967,326.4962119,226.4409212
Kosovo,XKX,Upper middle income,Europe & Central Asia,Europe,1.11,1761985,11.143,19633.79886,24.34591058,21.79351673
Kuwait,KWT,High income,Middle East & North Africa,Eastern Mediterranean,1.18,4268873,10.41,44438.96793,55.10432023,52.43798216
Kyrgyz Republic,KGZ,Lower middle income,Europe & Central Asia,Eastern Mediterranean,1.18,6974900,22.4,156237.76,193.7348224,184.3605568
Lao PDR,LAO,Lower middle income,East Asia & Pacific,South-East Asia,1.8,7529475,21.973,165445.1542,205.1519912,297.8012775
Latvia,LVA,High income,Europe & Central Asia,Europe,1.11,1879383,9.2,17290.3236,21.44000126,19.1922592
Lebanon,LBN,Lower middle income,Middle East & North Africa,Eastern Mediterranean,1.18,5489739,14.948,82060.61857,101.755167,96.83152991
Lesotho,LSO,Lower middle income,Sub-Saharan Africa,Africa,1.31,2305825,26.107,60198.17328,74.64573486,78.85960699
Liberia,LBR,Low income,Sub-Saharan Africa,Africa,1.31,5302681,31.287,165904.9804,205.7221758,217.3355244
Libya,LBY,Upper middle income,Middle East & North Africa,Eastern Mediterranean,1.18,6812341,17.828,121450.4153,150.598515,143.3114901
Liechtenstein,LIE,High income,Europe & Central Asia,Europe,1.11,39327,9.6,377.5392,0.468148608,0.419068512
Lithuania,LTU,High income,Europe & Central Asia,Europe,1.11,2831639,8.3,23502.6037,29.14322859,26.08789011
Luxembourg,LUX,High income,Europe & Central Asia,Europe,1.11,653103,10.5,6857.5815,8.50340106,7.611915465
"Macao SAR, China",MAC,High income,East Asia & Pacific,Europe,1.11,695168,10.114,7030.929152,8.718352148,7.804331359
Madagascar,MDG,Low income,Sub-Saharan Africa,Africa,1.31,29611714,30.949,916452.9366,1136.401641,1200.553347
