Country Name,Country Code,population_total_2010,crude_birth_rate_2010,population_total_2012,crude_birth_rate_2012,population_total_2014,crude_birth_rate_2014,population_total_2016,crude_birth_rate_2016,population_total_2018,crude_birth_rate_2018,population_total_2020,crude_birth_rate_2020,population_total_2021,crude_birth_rate_2021,population_total_2022
Ukraine,UKR,45870741,10.8,45593342,11.4,45272155,10.8,45004673,10.3,44622518,8.7,44132049,7.8,43822901,7.3,38000000
United Arab Emirates,ARE,8481771,13.665,8664969,12.911,8835951,11.989,8994263,10.993,9140169,10.049,9287289,10.62,9365145,10.307,9441129
United Kingdom,GBR,62766365,12.9,63700215,12.8,64602298,12,65611593,11.8,66460344,11,67081234,10.1,67026292,10.1,66971395
United States,USA,309327143,13,313877662,12.6,318386329,12.5,323071755,12.2,326838199,11.6,331511512,10.9,332031554,11,333287557
Uruguay,URY,3352651,14.264,3371133,14.196,3391662,14.082,3413766,13.64,3427042,11.605,3429086,10.339,3426260,10.473,3422794
Uzbekistan,UZB,28562400,22,29774500,21,30757700,23.3,31847900,22.8,32956100,23.3,34232050,24.6,34915100,25.9,35648100
Vanuatu,VUT,245453,33.056,257313,33.249,269927,32.855,283218,32.029,297298,30.889,311685,29.939,319137,29.438,326740
"Venezuela, RB",VEN,28715022,20.805,29470426,20.143,30193258,19.507,30741464,18.898,29825653,17.832,28490453,16.213,28199867,15.877,28301696
Vietnam,VNM,87411012,16.906,89301326,17.078,91235504,16.981,93126529,16.438,94914330,15.873,96648685,15.4,97468029,15.008,98186856
Virgin Islands (U.S.),VIR,108357,14.8,108188,13.1,107882,13.2,107516,13,107001,12.6,106290,12.1,105870,11.8,105413
West Bank and Gaza,PSE,3786161,33.727,3979998,32.894,4173398,32.477,4367088,31.921,4569087,30.126,4803269,28.8,4922749,28.236,5043612
"Yemen, Rep.",YEM,24743946,35.791,26223391,35.125,27753304,34.428,29274002,33.348,30790513,32.305,32284046,31.252,32981641,30.544,33696614
Zambia,ZMB,13792086,41.794,14744658,40.352,15737793,38.584,16767761,37.242,17835893,36.04,18927715,34.953,19473125,34.511,20017675
Zimbabwe,ZWE,12839771,37.056,13265331,36.804,13855753,35.122,14452704,33.171,15052184,32.074,15669666,31.009,15993524,30.537,16320537
