Country Name,Income Group,WHO Region ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Fiji,Upper middle income,Western Pacific,929766,19.345,17986.32327,22.30304085,15.46823801
Gabon,Upper middle income,Africa,2388992,27.142,64842.02086,80.40410587,84.94304733
Georgia,Upper middle income,Europe,3712502,13.412,49792.07682,61.74217526,55.26920527
Grenada,Upper middle income,Americas,125438,15.961,2002.115918,2.482623738,2.282412147
Guatemala,Upper middle income,Americas,17357886,21.12,366598.5523,454.5822049,417.9223496
Guyana,Upper middle income,Americas,808726,20.298,16415.52035,20.35524523,18.7136932
Iraq,Upper middle income,Eastern Mediterranean,44496122,27.367,1217725.371,1509.97946,1436.915938
Jamaica,Upper middle income,Americas,2827377,11.712,33114.23942,41.06165689,37.75023294
Jordan,Upper middle income,Eastern Mediterranean,11285869,21.95,247724.8246,307.1787824,292.315293
Kazakhstan,Upper middle income,Europe,19621972,23.5,461116.342,571.7842641,511.8391396
Kosovo,Upper middle income,Europe,1761985,11.143,19633.79886,24.34591058,21.79351673
Libya,Upper middle income,Eastern Mediterranean,6812341,17.828,121450.4153,150.598515,143.3114901
Malaysia,Upper middle income,Western Pacific,33938221,15.24,517218.488,641.3509252,444.8078997
Maldives,Upper middle income,South-East Asia,523787,14.088,7379.111256,9.150097957,13.28240026
Mauritius,Upper middle income,Africa,1262523,10.3,13003.9869,16.12494376,17.03522284
Mexico,Upper middle income,Americas,127504125,14.857,1894328.785,2348.967694,2159.534815
Moldova,Upper middle income,Europe,2538894,12.432,31563.53021,39.13877746,35.03551853
Montenegro,Upper middle income,Europe,617213,11.4,7036.2282,8.724922968,7.810213302
Namibia,Upper middle income,Africa,2567012,27.439,70436.24227,87.34094041,92.27147737
North Macedonia,Upper middle income,Europe,2057679,10.2,20988.3258,26.02552399,23.29704164
Palau,Upper middle income,Western Pacific,18055,13.4,241.937,0.30000188,0.20806582
Paraguay,Upper middle income,Americas,6780744,20.627,139866.4065,173.434344,159.4477034
Peru,Upper middle income,Americas,34049588,17.622,600021.8397,744.0270813,684.0248973
Russian Federation,Upper middle income,Europe,144236933,9.6,1384674.557,1716.99645,1536.988758
Serbia,Upper middle income,Europe,6664449,9.1,60646.4859,75.20164252,67.31759935
South Africa,Upper middle income,Africa,59893885,19.821,1187156.695,1472.074301,1555.17527
St. Lucia,Upper middle income,South-East Asia,179857,11.49,2066.55693,2.562530593,3.719802474
St. Vincent and the Grenadines,Upper middle income,South-East Asia,103948,12.901,1341.033148,1.662881104,2.413859666
Suriname,Upper middle income,Americas,618040,18.154,11219.89816,13.91267372,12.7906839
Thailand,Upper middle income,South-East Asia,71697030,8.999,645201.573,800.0499505,1161.362831
Tonga,Upper middle income,Western Pacific,106858,23.045,2462.54261,3.053552836,2.117786645
Turkiye,Upper middle income,Europe,84979913,14.678,1247335.163,1546.695602,1384.542031
Turkmenistan,Upper middle income,Europe,6430770,21.592,138853.1858,172.1779504,154.1270363
"Venezuela, RB",Upper middle income,Americas,28301696,15.877,449346.0274,557.189074,512.2544712
Andorra,High income,Europe,79824,7.2,574.7328,0.712668672,0.637953408
Antigua and Barbuda,High income,Americas,93763,12.115,1135.938745,1.408564044,1.294970169
Aruba,High income,Americas,106445,7.193,765.658885,0.949417017,0.872851129
Australia,High income,Western Pacific,26005540,12.1,314667.034,390.1871222,270.6136492
Austria,High income,Europe,9041851,9.6,86801.7696,107.6341943,96.34996426
"Bahamas, The",High income,Americas,409984,11.445,4692.26688,5.818410931,5.349184243
